Gizmo.Menu;Edit Mode
Gizmo.Mode.Select;Select
Gizmo.Mode.Translate;Translate
Gizmo.Mode.Rotate;Rotate
Gizmo.Mode.Scale;Scale
Gizmo.Mode.DragToPosition;Drag To Position
Gizmo.Mode.GreyBoxing;Grey-Boxing
Gizmo.TransformSpace;Transform in World Space
Gizmo.MoveParentOnly;Transform Parent Only
Gizmo.Rotation.Snap.Menu;Rotation Snap
Gizmo.Rotation.Snap.0_Degree;No Rotation Snap
Gizmo.Rotation.Snap.1_Degree;1 Degree
Gizmo.Rotation.Snap.5_Degree;5 Degree
Gizmo.Rotation.Snap.10_Degree;10 Degree
Gizmo.Rotation.Snap.15_Degree;15 Degree
Gizmo.Rotation.Snap.30_Degree;30 Degree
Gizmo.Rotation.Snap.2_8125_Degree;2.8125 Degree (1/128)
Gizmo.Rotation.Snap.5_625_Degree;5.625 Degree (1/64)
Gizmo.Rotation.Snap.11_25_Degree;11.25 Degree (1/32)
Gizmo.Rotation.Snap.22_5_Degree;22.5 Degree (1/16)
Gizmo.Rotation.Snap.45_Degree;45 Degree (1/8)
Gizmo.Scale.Snap.Menu;Scaling Snap
Gizmo.Scale.Snap.0;No Scale Snap
Gizmo.Scale.Snap.8;8
Gizmo.Scale.Snap.4;4
Gizmo.Scale.Snap.2;2
Gizmo.Scale.Snap.1;1
Gizmo.Scale.Snap.0_5;0.5
Gizmo.Scale.Snap.0_25;0.25
Gizmo.Scale.Snap.0_125;0.125
Gizmo.Translate.Snap.Menu;Position Snap
Gizmo.Translate.Snap.PivotToGrid;Snap Pivot To Grid
Gizmo.Translate.Snap.ObjectsToGrid;Snap Each Object To Grid
Gizmo.Translate.Snap.0;No Position Snap
Gizmo.Translate.Snap.16;16
Gizmo.Translate.Snap.10;10
Gizmo.Translate.Snap.8;8
Gizmo.Translate.Snap.5;5
Gizmo.Translate.Snap.4;4
Gizmo.Translate.Snap.2;2
Gizmo.Translate.Snap.1;1
Gizmo.Translate.Snap.0_5;0.5
Gizmo.Translate.Snap.0_25;0.25
Gizmo.Translate.Snap.0_2;0.2
Gizmo.Translate.Snap.0_125;0.125
Gizmo.Translate.Snap.0_1;0.1
Gizmo.SnapSettings;Snap Settings
Scene.View.Toggle;Toggle Views
Scene.View.Span;Spawn View
Scene.ExportAndRun;Export and Run...
Scene.Render.SelectionOverlay;Visualize Selection
Scene.Render.Visualizers;Render Visualizers
Scene.Render.ShapeIcons;Render Shape Icons
Scene.Render.AddAmbient;Add Ambient Light
Scene.Render.Grid;Show Grid
Scene.GameMode.Stop;Reset World
Scene.GameMode.Simulate;Simulate World
Scene.GameMode.Play;Play the Game
Scene.Camera.Speed;Camera Speed;Camera Speed: CTRL+Mousewheel to change
Scene.Camera.SnapCameraToObject;Align Camera with Object;Moves the camera to be at the exact location of the selected object.
Scene.Camera.SnapObjectToCamera;Align Object with Camera;Moves the object to be at the current location of the camera.
Scene.Camera.MoveCameraHere;Move Camera Here;Moves the camera close to the point that the mouse points at.
Selection.ShowInScenegraph;Show in Scenegraph
Selection.FocusSingleView;Focus on Selection
Selection.FocusAllViews;Focus All Views on Selection
Selection.GroupItems;Group
Selection.HideItems;Hide Selected
Selection.HideUnselectedItems;Hide Unselected
Selection.ShowHidden;Show Hidden Objects
Selection.CreateEmptyChildObject;Create Empty Child Object
Selection.CreateEmptyObjectAtPosition;Create Empty Object At Position
Selection.DuplicateSpecial;Duplicate...
Selection.DeltaTransform;Delta Transform...
Selection.Attach;Attach to This
Selection.Detach;Detach
Selection.CopyReference;Copy Object Reference
Prefabs.Menu;Prefabs
Prefabs.UpdateAll;Update Prefabs
Prefabs.Create;Create Prefab...
Prefabs.Revert;Revert Prefab
Prefabs.OpenDocument;Edit Prefab...;Opens the prefab template in a separate window for editing
Prefabs.Unlink;Unlink from Template;The prefab instance is turned into a regular object with no connection to the original prefab
Prefabs.ConvertToEngine;Convert to Engine Prefab
Prefabs.ConvertToEditor;Convert to Editor Prefab
Scene.Simulation.Speed.Menu;Simulation Speed
Scene.Simulation.Speed.01;10%
Scene.Simulation.Speed.025;25%
Scene.Simulation.Speed.05;50%
Scene.Simulation.Speed.1;100%
Scene.Simulation.Speed.15;150%
Scene.Simulation.Speed.2;200%
Scene.Simulation.Speed.3;300%
Scene.Simulation.Speed.4;400%
Scene.Simulation.Speed.5;500%
Scene.Simulation.Speed.10;1000%
General;General
Gameplay;Gameplay
Rendering;Rendering
Lighting;Lighting
Settings;Settings
Transform;Transform
plProjectileComponent;Projectile
plDecalComponent;Decal
plSpawnComponent;Spawn
plTimedDeathComponent;Timed Death
plInputComponent;Input
plPrefabReferenceComponent;Prefab Reference
plCameraComponent;Camera
plMeshComponent;Mesh
plAmbientLightComponent;Ambient Light
plDirectionalLightComponent;Directional Light
plSpotLightComponent;Spot Light
plPointLightComponent;Point Light
plSkyLightComponent;Sky Light
plReflectionProbeMode::Static;Static
plReflectionProbeMode::Dynamic;Dynamic
plSkyBoxComponent;Sky Box
plFogComponent;Fog
plSpriteComponent;Sprite
plRotorComponent;Rotor
plHeadBoneComponent;Head Bone
plSliderComponent;Slider
plCollectionComponent;Collection
plLineToComponent;Draw Line To Object
plDebugTextComponent;Debug Text
plRenderTargetActivatorComponent;Render Target Activator
plAlwaysVisibleComponent;Always Visible
Components;Components
Materials;Materials
Surfaces;Surfaces
Interactions;Interactions
ReflectionData;Reflection Data
plProjectileSurfaceInteraction;Surface Interaction
plProjectileReaction::Absorb;Absorb
plProjectileReaction::Reflect;Reflect
plProjectileReaction::Attach;Attach
plProjectileReaction::PassThrough;Pass Through
plSurfaceInteraction;Surface Interaction
plSurfaceInteractionAlignment::SurfaceNormal;Surface Normal
plSurfaceInteractionAlignment::IncidentDirection;Incoming Direction
plSurfaceInteractionAlignment::ReflectedDirection;Reflected Direction
plSurfaceInteractionAlignment::ReverseSurfaceNormal;Reverse Surface Normal
plSurfaceInteractionAlignment::ReverseIncidentDirection;Reverse Incoming Direction
plSurfaceInteractionAlignment::ReverseReflectedDirection;Reverse Reflected Direction
plObjectMode::Automatic;Automatic
plObjectMode::ForceDynamic;Force Dynamic
plOnComponentFinishedAction::None;None
plOnComponentFinishedAction::DeleteComponent;Delete Component
plOnComponentFinishedAction::DeleteGameObject;Delete Object
plOnComponentFinishedAction2::None;None
plOnComponentFinishedAction2::DeleteComponent;Delete Component
plOnComponentFinishedAction2::DeleteGameObject;Delete Object
plOnComponentFinishedAction2::Restart;Restart
plVisualScriptComponent;Visual Script
plAreaDamageComponent;Area Damage
plLogicOperator::Equal;=
plLogicOperator::Unequal;<>
plLogicOperator::Less;<
plLogicOperator::LessEqual;<=
plLogicOperator::Greater;>
plLogicOperator::GreaterEqual;>=
plSetColorMode::SetRGBA;Set RGBA
plSetColorMode::SetRGB;Set RGB
plSetColorMode::SetAlpha;Set Alpha
plSetColorMode::AlphaBlend;Alpha Blend
plSetColorMode::Additive;Additive
plSetColorMode::Modulate;Modulate
plShapeIconComponent;Shape Icon
plGreyBoxShape::Box;Box
plGreyBoxShape::RampX;Ramp X
plGreyBoxShape::RampY;Ramp Y
plGreyBoxShape::Column;Column
plGreyBoxShape::StairsX;Stairs X
plGreyBoxShape::StairsY;Stairs Y
plGreyBoxShape::ArchX;Arch X
plGreyBoxShape::ArchY;Arch Y
plGreyBoxShape::SpiralStairs;Spiral Stairs
plGreyBoxComponent;Grey Boxing
plSpriteBlendMode::Masked;Masked
plSpriteBlendMode::Transparent;Transparent
plSpriteBlendMode::Additive;Additive
Mixed Reality;Mixed Reality
